"Date","Last","Open","High","Low","Vol","% Changs"
"Apr 11, 2019","4.68","4.80","4.84","4.67","19.48M","-3.11%"
"Apr 10, 2019","4.83","4.78","4.90","4.70","25.38M","0.21%"
"Apr 09, 2019","4.82","4.82","4.85","4.70","28.26M","-1.23%"
"Apr 08, 2019","4.88","5.07","5.09","4.80","59.81M","-6.33%"
"Apr 04, 2019","5.21","4.91","5.39","4.73","119.71M","6.33%"
"Apr 03, 2019","4.90","4.46","4.90","4.38","72.39M","10.11%"
"Apr 02, 2019","4.45","4.52","4.52","4.41","17.98M","-1.11%"
"Apr 01, 2019","4.50","4.26","4.65","4.25","25.34M","4.65%"
"Mar 29, 2019","4.30","4.21","4.31","4.13","12.00M","2.38%"
"Mar 28, 2019","4.20","4.28","4.34","4.19","10.86M","-2.78%"
"Mar 27, 2019","4.32","4.34","4.36","4.18","13.20M","0.00%"
"Mar 26, 2019","4.32","4.50","4.54","4.30","18.28M","-4.21%"
"Mar 25, 2019","4.51","4.55","4.59","4.51","16.40M","-3.22%"
"Mar 22, 2019","4.66","4.74","4.74","4.51","20.96M","-1.27%"
"Mar 21, 2019","4.72","4.69","4.78","4.61","26.79M","1.07%"
"Mar 20, 2019","4.67","4.67","4.67","4.47","21.96M","2.19%"
"Mar 19, 2019","4.57","4.58","4.65","4.50","17.78M","-0.22%"
"Mar 18, 2019","4.58","4.42","4.64","4.41","19.39M","4.57%"
"Mar 15, 2019","4.38","4.40","4.50","4.38","16.72M","-0.23%"
"Mar 14, 2019","4.39","4.55","4.62","4.26","25.28M","-4.77%"
"Mar 13, 2019","4.61","4.78","4.82","4.53","31.24M","-4.75%"
"Mar 12, 2019","4.84","4.69","5.10","4.66","52.86M","4.09%"
"Mar 11, 2019","4.65","4.44","4.71","4.41","28.21M","5.20%"
"Mar 08, 2019","4.42","4.70","4.82","4.40","48.05M","-9.43%"
"Mar 07, 2019","4.88","4.55","5.07","4.51","58.17M","5.86%"
"Mar 06, 2019","4.61","4.49","4.76","4.34","55.42M","3.83%"
"Mar 05, 2019","4.44","4.26","4.46","4.20","45.36M","4.23%"
"Mar 04, 2019","4.26","4.23","4.34","4.20","33.85M","0.95%"
"Mar 01, 2019","4.22","4.32","4.34","4.15","26.62M","-2.31%"
"Feb 28, 2019","4.32","4.17","4.33","4.17","29.64M","3.10%"
"Feb 27, 2019","4.19","4.20","4.35","4.11","31.83M","-0.71%"
"Feb 26, 2019","4.22","4.23","4.39","4.10","43.29M","-1.17%"
"Feb 25, 2019","4.27","4.05","4.27","4.02","44.04M","4.15%"
"Feb 22, 2019","4.10","4.02","4.10","3.97","25.53M","2.24%"
"Feb 21, 2019","4.01","4.02","4.09","3.99","28.56M","-1.96%"
"Feb 20, 2019","4.09","4.13","4.13","4.00","44.68M","-2.39%"
"Feb 19, 2019","4.19","3.93","4.19","3.91","50.96M","9.97%"
"Feb 18, 2019","3.81","3.72","3.84","3.68","16.03M","4.10%"
