Date,Lastes,Open,High,Low,Vol,Difference
24-Feb-19,"3,823.10","4,120.50","4,194.20","3,701.90",12.42M,-7.21%
3-Mar-19,"3,944.30","3,823.20","3,964.00","3,681.80",19.19M,3.17%
10-Mar-19,"4,006.40","3,944.40","4,050.60","3,817.10",19.44M,1.57%
17-Mar-19,"4,002.50","4,006.40","4,064.00","3,923.80",20.06M,-0.10%
24-Mar-19,"4,111.80","4,002.60","4,138.10","3,897.90",19.14M,2.73%
31-Mar-19,"5,046.20","4,111.80","5,278.40","4,076.80",36.99M,22.73%
7-Apr-19,"5,051.80","5,046.10","5,404.10","4,889.20",5.83M,0.11%
14-Apr-19,"5,290.20","5,052.00","5,327.00","4,964.20",4.90M,4.72%
21-Apr-19,"5,265.90","5,290.20","5,594.40","5,137.40",6.56M,-0.46%
28-Apr-19,"5,830.90","5,265.70","5,899.20","5,188.90",5.56M,10.73%
5-May-19,"7,190.30","5,830.80","7,373.80","5,630.50",5.78M,23.31%
12-May-19,"7,262.60","7,190.00","8,323.90","6,802.60",9.03M,1.01%
19-May-19,"8,027.40","7,261.90","8,253.40","7,252.30",6.20M,10.53%
26-May-19,"8,545.70","8,029.60","9,045.90","7,866.50",20.69M,6.46%
2-Jun-19,"7,901.40","8,545.80","8,807.70","7,480.40",4.88M,-7.54%
9-Jun-19,"8,812.50","7,901.60","8,856.70","7,516.90",4.24M,11.53%
16-Jun-19,"10,721.70","8,812.20","11,160.50","8,771.10",5.15M,21.66%
23-Jun-19,"11,906.50","10,721.50","13,929.80","10,493.50",7.21M,11.05%
30-Jun-19,"11,268.00","11,906.00","12,179.30","9,728.50",6.41M,-5.36%
7-Jul-19,"11,364.90","11,267.90","13,134.40","10,839.40",5.64M,0.86%
14-Jul-19,"10,826.70","11,364.30","11,448.70","9,082.60",6.29M,-4.74%
21-Jul-19,"9,492.10","10,827.00","10,883.80","9,389.10",4.02M,-12.33%
28-Jul-19,"10,815.70","9,491.10","10,893.60","9,401.10",3.89M,13.94%
4-Aug-19,"11,314.50","10,816.10","12,291.90","10,568.80",4.55M,4.61%
11-Aug-19,"10,218.10","11,314.60","11,728.40","9,580.10",4.62M,-9.69%
18-Aug-19,"10,131.00","10,219.30","10,941.60","9,777.00",3.57M,-0.85%
25-Aug-19,"9,594.40","10,132.10","10,568.20","9,343.00",3.29M,-5.30%
1-Sep-19,"10,461.10","9,594.70","10,896.20","9,533.60",3.62M,9.03%
8-Sep-19,"10,337.30","10,461.60","10,578.00","9,908.90",2.74M,-1.18%
15-Sep-19,"9,993.00","10,337.30","10,360.50","9,707.60",2.51M,-3.33%
22-Sep-19,"8,208.50","9,993.00","10,075.00","7,773.60",4.23M,-17.86%
29-Sep-19,"8,127.30","8,208.00","8,486.20","7,749.00",3.23M,-0.99%
6-Oct-19,"8,304.40","8,127.30","8,751.10","7,797.00",4.00M,2.18%
13-Oct-19,"7,957.30","8,304.30","8,450.20","7,842.00",3.38M,-4.18%
20-Oct-19,"9,230.60","7,957.40","10,540.00","7,329.20",4.23M,16.00%
27-Oct-19,"9,226.60","9,230.60","9,866.90","9,081.00",4.03M,-0.04%
