Date,High,Low,Open,Close,Volume,Difference
2012-08-19,11.6,7.6,11.6,10.5,759290,-0.0939
2012-08-26,12.1,9.7,10.5,10,432010,-0.0523
2012-09-02,11.3,9.7,10,11,270470,0.1073
2012-09-09,11.8,10.8,11,11.8,260010,0.0643
2012-09-16,12.7,11.7,11.8,12.2,223130,0.0417
2012-09-23,12.5,11.6,12.2,12.4,175000,0.0098
2012-09-30,13.1,12.3,12.4,12.5,210290,0.0121
2012-10-07,12.6,10.6,12.5,11.9,289170,-0.052
2012-10-14,12,11.4,11.9,11.7,181900,-0.0101
2012-10-21,12,9.7,11.7,10.3,354680,-0.1261
2012-10-28,11.3,10.3,10.3,10.6,218240,0.037
2012-11-04,11.2,10.5,10.6,10.9,151530,0.0235
2012-11-11,11.8,10.7,10.9,11.8,202400,0.0826
2012-11-18,12.5,11.6,11.8,12.4,184000,0.0526
2012-11-25,12.7,11.9,12.4,12.6,189370,0.0121
2012-12-02,13.7,12.4,12.6,13.4,226350,0.0685
2012-12-09,13.9,13,13.4,13.5,228090,0.0052
2012-12-16,13.7,12.8,13.5,13.4,241510,-0.0089
2012-12-23,13.7,13,13.4,13.4,139460,0
2012-12-30,13.6,13.2,13.4,13.4,142190,0
2013-01-06,14.4,13.4,13.4,14.2,228800,0.0595
2013-01-13,16,13.9,14.2,15.6,313710,0.0969
2013-01-20,19.2,15.4,15.6,17.9,485490,0.1447
2013-01-27,21.4,17.2,17.9,19.6,442230,0.0979
2013-02-03,24,19.4,19.6,23.6,318710,0.2048
2013-02-10,27.6,21.7,23.6,27.2,466620,0.151
2013-02-17,31.3,25,27.2,29.8,417660,0.0948
2013-02-24,34.9,29.2,29.8,34.3,327360,0.1493
2013-03-03,49.1,33.3,34.3,46.8,520060,0.3679
2013-03-10,48.5,36.7,46.8,47,384320,0.0032
2013-03-17,74.9,46.8,47,64.3,602060,0.3691
2013-03-24,95.7,62.7,64.3,92.2,511380,0.4326
2013-03-31,147,91,92.2,142.6,520930,0.5471
2013-04-07,266,54.3,142.6,93,1380000,-0.348
2013-04-14,136.4,50,93,126.6,1810000,0.3615
2013-04-21,166.4,110,126.6,128,876870,0.0109
2013-04-28,149.1,79,128,112.9,956240,-0.118
2013-05-05,124.9,97.5,112.9,115.6,568140,0.0243
2013-05-12,125.6,103,115.6,123.2,399530,0.0655
2013-05-19,134,119.5,123.2,132,157310,0.0713
2013-05-26,136,124,132,129.3,159870,-0.0204
2013-06-02,130.1,106.2,129.3,107.9,273710,-0.1656
2013-06-09,112.3,88,107.9,99.8,336610,-0.075
2013-06-16,115,98.9,99.8,108.2,190470,0.0842
2013-06-23,110,92.3,108.2,95,234920,-0.122
2013-06-30,98.2,65.4,95,69.7,358770,-0.2667
2013-07-07,104.2,66.6,69.7,98.3,366120,0.4114
2013-07-14,101.9,86.2,98.3,89.8,177260,-0.0865
2013-07-21,97.5,88,89.8,94.4,105870,0.051
2013-07-28,111.7,94,94.4,104.9,191740,0.1118
2013-08-04,107.8,101,104.9,103,82990,-0.0186
2013-08-11,115,102.7,103,112.8,139760,0.0947
2013-08-18,125,111.8,112.8,119.6,160000,0.0608
2013-08-25,148.7,119.1,119.6,141,170740,0.1789
2013-09-01,148.9,121.3,141,129,130890,-0.0852
2013-09-08,145.9,124,129,136.7,137010,0.0598
2013-09-15,142.2,131,136.7,134.4,73340,-0.017
2013-09-22,143,131,134.4,142.5,77320,0.0604
2013-09-29,145.8,109.7,142.5,136.7,212390,-0.0407
2013-10-06,143.1,134.1,136.7,142.9,64320,0.0453
2013-10-13,195.8,141.5,142.9,183.1,201720,0.2818
2013-10-20,233.4,175.3,183.1,188.6,254870,0.0295
2013-10-27,216.5,188.9,188.6,211.7,63770,0.1227
2013-11-03,395,212.1,211.7,367.8,294920,0.7374
2013-11-10,476.9,290,367.8,462,228960,0.256
2013-11-17,900.9,453.3,462,832.5,379680,0.8021
2013-11-24,"1,241.90",745.2,832.5,"1,205.70",213000,0.4482
2013-12-01,"1,239.90",576,"1,205.70",697,362230,-0.4219
2013-12-08,"1,067.70",653,697,908.9,144170,0.304
2013-12-15,927.9,454.9,908.9,640.5,293970,-0.2954
2013-12-22,836.8,615,640.5,762,93740,0.1897
2013-12-29,932.2,735,762,924.7,74200,0.2135
2014-01-05,"1,093.40",858.9,924.7,"1,005.30",113160,0.0872
2014-01-12,"1,022.70",867.2,"1,005.30",905.7,52660,-0.0991
2014-01-19,980.5,901.9,905.7,961,45700,0.0611
2014-01-26,"1,038.10",909.5,961,940.4,51590,-0.0215
2014-02-02,959.6,632.1,940.4,648.8,107920,-0.3101
2014-02-09,700,302.2,648.8,371.1,243420,-0.428
2014-02-16,540,91.7,371.1,255.6,474940,-0.3112
2014-02-23,650,102.3,255.6,557.4,166110,1.1808
2014-03-02,695.4,541.5,557.4,609.2,11290,0.093
